"Industrial capacity utilization rates, by industry"
"Quarterly"
"Table: 16-10-0109-01 (formerly CANSIM 028-0002)"
"Geography: Canada"

"","Canada",,,,
"North American Industry Classification System (NAICS)","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019"
"","Percent",,,,
"Total industrial 1","83.4","81.9","81.0","83.3","81.7"
"Forestry and logging  [113]","81.3","79.4","80.0","78.6","75.4"
"Mining and oil and gas extraction  [21]","82.7","80.0","77.1","81.9","78.4"
"Oil and gas extraction  [211]","82.1","82.5","80.1","84.8","80.7"
"Mining 2","84.0","75.0","71.0","75.8","73.5"
"Electric power generation, transmission and distribution  [2211]","85.0","85.3","85.6","84.3","84.1"
"Construction  [23]","89.2","88.1","88.7","89.5","91.2"
"Manufacturing  [31-33]","80.1","79.1","78.5","80.4","78.3"
"Food manufacturing  [311]","80.4","81.0","79.7","80.4","80.2"
"Beverage and tobacco product manufacturing  [312]","76.3","73.5","73.6","76.9","76.7"
"Beverage manufacturing  [3121]","77.7","74.9","74.5","78.2","77.9"
"Tobacco manufacturing  [3122]","68.6","66.4","68.7","69.3","69.6"
"Textiles 3","75.3","77.7","75.4","76.9","74.4"
"Textile mills  [313]4","77.3","79.0","77.2","77.4","75.8"
"Textile product mills  [314]4","72.9","76.2","73.1","76.2","72.6"
"Clothing manufacturing  [315]","76.9","84.4","82.7","85.8","83.2"
"Leather and allied product manufacturing  [316]","76.7","80.6","83.3","76.7","85.5"
"Wood product manufacturing  [321]","83.0","79.7","79.9","80.6","75.5"
"Paper manufacturing  [322]","89.5","88.3","88.2","87.8","86.2"
"Printing and related support activities  [323]","74.3","76.5","75.8","77.3","76.0"
"Petroleum and coal products manufacturing  [324]","88.8","77.7","86.3","85.6","85.5"
"Chemical manufacturing  [325]","84.7","81.5","82.7","80.3","76.7"
"Plastics and rubber products manufacturing  [326]","77.0","73.7","72.7","78.5","75.4"
"Plastic product manufacturing  [3261]","76.4","73.0","71.6","78.1","74.6"
"Rubber product manufacturing  [3262]","80.0","77.2","79.2","80.5","79.6"
"Non-metallic mineral product manufacturing  [327]","76.9","71.1","60.1","76.4","78.9"
"Primary metal manufacturing  [331]","79.3","79.5","76.7","76.9","74.8"
"Fabricated metal product manufacturing  [332]","74.7","77.7","74.9","78.2","76.4"
"Machinery manufacturing  [333]","78.0","79.8","79.2","80.2","76.8"
"Computer and electronic product manufacturing  [334]","83.0","83.1","81.9","81.8","81.7"
"Electrical equipment, appliance and component manufacturing  [335]","80.3","80.2","79.3","75.1","76.3"
"Transportation equipment manufacturing  [336]","78.9","79.8","82.3","84.1","78.7"
"Furniture and related product manufacturing  [337]","79.3","76.7","73.0","79.6","79.7"
"Miscellaneous manufacturing  [339]","78.6","78.1","78.1","78.1","78.4"


Footnotes:
1,"This combines the North American Industry Classification System (NAICS) codes 113, 21, 2211, 23 and 31-33."
2,This combines the North American Industry Classification System (NAICS) codes 212 and 213.
3,This combines the North American Industry Classification System (NAICS) codes 313 and 314.
4,Data not available prior to 1997.

"How to cite: Statistics Canada. Table 16-10-0109-01 Industrial capacity utilization rates, by industry"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1610010901
DOI:  https://doi.org/10.25318/1610010901-eng